순위,도서명,상세링크,저자,출판사,출판일,판매가(원),평점,리뷰수,책소개
1,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",https://www.yes24.com/product/goods/189114943,차진우,골든래빗,2026년 05월,25200,9.6,11,"* 코워크, 스킬, 클로드 코드, 디자인까지, 클로드의 모든 것을 한 권에!
* 바로 배워 바로 쓰는 82가지 미친 활용법으로 10배 빨라지는 업무 속도
* 말 한마디면 알아서 다 하는 진짜 AI 비서를 지금 만나보세요!
""나도 똑똑한 AI 비서 하나 있었으면 좋겠다""라고 누구나 한 번쯤 생각해봤을 것이다. 그렇다면 수많은 AI 중에서 어떤 것을 선택해야 할까? 챗GPT나 제미나이도 훌륭하지만, 진짜 내 일을 믿고 맡길 완벽한 업무 파트너를 원한다면 정답은 단연 ‘클로드’다.
챗GPT는 범용성이 강점이고, 제미나이는 구글 서비스 연동에 특화되어 있다. 하지만 실제 업무에서 AI에게 긴 문서를 맡기고, 복잡한 지시를 정확하게 처리하고, 외부 도구와 연결해 스스로 일을 완성하는 에이전트 능력이 필요하다면 클로드가 가장 적합한 선택이다. 최대 100만 토큰에 달하는 방대한 문서를 한 번에 처리하고, 코딩 분야에서 최상위권 성능을 인정받으며, 아무리 긴 대화도 처음과 끝을 일관되게 이어가는 실력. 이것이 바로 수많은 직장인과 전문가가 클로드를 업무용 AI로 선택하는 이유다.
이 책은 인공지능에 대해 아무것도 모르는 생초보를 위해 쓰여졌다. 단순히 대화만 나누는 챗봇을 넘어, 내 컴퓨터 안에서 진짜 사람처럼 나의 일을 대신해 주는 똑똑한 클로드를 활용하는 방법을 가장 친절하게 안내한다. 이 책 한 권이면 일상과 업무의 스트레스를 확 줄여줄 클로드의 네 가지 핵심 기능을 완벽하게 마스터할 수 있다. 
__코워크 : 클로드가 내 컴퓨터 폴더에 직접 접근해 파일을 읽고 처리하는 기능이다. 흩어진 PDF를 하나로 합치거나, 한글 문서 서식을 일괄 변경하거나, 매일 아침 업무 리포트를 자동으로 완성하는 등 손이 많이 가는 반복 작업을 클로드가 대신한다.
__스킬 : 클로드에게 업무 방식을 가르치는 기능이다. 회의록 정리, 수익성 분석, 뉴스 브리핑 등 자주 하는 복잡한 업무를 한 번만 등록해두면 매번 설명하지 않아도 언제든 일관된 결과물을 만들어낸다.
__클로드 코드 : 코딩을 몰라도 나만의 프로그램을 만들 수 있는 기능이다. ""집중력 타이머 만들어줘"", ""번역기 만들어줘""처럼 원하는 것을 말로 설명하면 클로드가 스스로 코드를 작성하고 실행해 실제로 작동하는 웹 프로그램을 완성해준다.
__디자인 : 디자인 경험이 전혀 없어도 전문가 수준의 시각 자료를 만드는 기능이다. ""발표용 PPT 5장 만들어줘""라고 말하면 브랜드 분위기에 맞는 세련된 슬라이드가 완성되고, 홈페이지와 홍보 동영상 제작까지 가능하다."
2,혼자 공부하는 바이브 코딩 with 클로드 코드,https://www.yes24.com/product/goods/167573138,조태호,한빛미디어,2025년 12월,27000,9.9,170,"국내 최초 북미 글로벌 IT 출판사 판권 계약 체결! 영어판 출간 확정
하버드의과대학교수, 국회의원, 실리콘밸리 벤처캐피탈 창립파트너 등 국내외 전문가 강력 추천!
코딩 몰라도, 아이디어만 있으면 앱을 만드는 시대를 위한 실습형 AI 코딩 입문서
저자 직강 유튜브 강의, Q&A 채널 제공
15가지 실습 프로젝트를 따라 하며 배우는 실전 개발 워크플로
매일 반복되는 일을 AI에게 맡길 수 있다면 어떨까?
AI가 코드를 대신 쓰는 시대, 이제 코딩은 ‘배워야 하는 기술’에서 ‘활용하면 더 유용한 도구’가 되었다. 이 책은 그 변화의 한가운데에서 탄생한 『혼자 공부하는』 시리즈 최초의 AI 기반 코딩 입문서이다. 프로그래밍을 전혀 모르는 독자라도 책의 흐름대로 따라 하기만 하면 실제로 동작하는 웹 앱을 자신의 손으로 만들어내는 경험을 하게 된다. 설치부터 실습, 오류 해결, 배포까지 이어지는 완성형 워크플로가 담겨 있어, ‘처음 만들기’의 장벽을 낮추고 ‘끝까지 완주하기’라는 성취감을 자연스럽게 이끌어낸다.
특히 이 책은 단순히 프롬프트를 복사해 붙여 넣는 방식에 그치지 않는다. 왜 이런 결과가 나오는지, 어떤 구조로 앱이 작동하는지, 어떻게 응용해야 나만의 결과물을 만들 수 있는지를 기초 원리부터 친절하게 설명한다. 덕분에 독자는 도구 사용법을 넘어 AI를 활용해 문제를 해결하는 사고방식을 익힐 수 있다. 저자는 이 책을 두고  “AI 시대, 인류의 마지막 코딩 책이 될지도 모른다”고 말한다.앞으로 우리가 배워야 할 것은  코드를 암기하는 법이 아니라, AI와 정확하게 협업하는 능력이기 때문이다. AI와 함께 설계·구현·배포까지 해내는 진짜 코딩 경험을 시작해 보자!"
3,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,https://www.yes24.com/product/goods/192148896,코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,19800,10.0,29,"안경다리북스 ‘뚝딱’ 시리즈의 첫 번째 책
3대 AI를 내 업무에 맞게 쓰는 가장 쉬운 방법
처음이어도 바로 써먹는 직장인 AI 실전서
남들은 다 AI로 편하게 일한다는데, 나만 뒤처지는 건 아닐까? 
쏟아지는 AI 툴 앞에서 막막한 초보자를 위해, 가장 쉬운 실전 활용법을 담았습니다.
챗GPT·제미나이·클로드, AI 3대장의 강점만 골라 써서 결과를 만드는 AI 실전서를 소개합니다!
AI 시대, 이제 하나의 도구에만 의존하는 시대는 끝났습니다. 챗GPT, 제미나이, 클로드는 각각 고유한 강점을 지닌 현존 최강의 AI 3대장입니다. 이 책은 세 AI를 균형 있게 익히고 업무 상황에 맞게 골라 쓸 수 있도록 설계되었습니다. 창의적 발상에 강한 챗GPT, 구글 생태계와 연동되는 제미나이, 문서 분석과 핵심 정리에 뛰어난 클로드는 서로 경쟁하는 도구가 아니라, 내 일을 돕는 각기 다른 역할의 팀원입니다.
이 책의 가장 큰 차별점은 세 명의 직무형 페르소나를 따라간다는 점입니다. 
브랜드 기획팀 신입 ‘나백지’, B2B 영업 대리 ‘정보만’, 전략기획팀 대리 ‘반복희’의 업무를 따라가며, 독자는 기획·조사·정리 단계마다 어떤 AI가 더 적합한지 자연스럽게 익히게 됩니다. 단순한 기능 소개가 아니라, 실제 업무 흐름 안에서 AI를 쓰는 법을 배우는 책입니다.
또한 이 책은 읽고 나서 써먹는 책이 아니라, 읽는 동안 바로 활용하는 책입니다. 각 실습마다 캡처 이미지와 실무용 프롬프트를 담아 초보자도 첫날부터 따라 할 수 있고, 책을 덮은 뒤에도 업무에 바로 적용할 수 있습니다. AI를 ‘알아야 할 기술’이 아니라 ‘매일 쓰는 업무 도구’로 바꾸는 것, 그것이 이 책이 제안하는 가장 현실적인 일잘러의 방법입니다.
☞ 안경다리북스 관련 사이트 
▶ 인스타그램 instagram.com/andabooks_keg/
▶ 블로그 blog.naver.com/kegbook
▶ 홈페이지 andabooks.co.kr"
4,이게 되네? 제미나이 완전 미친 활용법 81제,https://www.yes24.com/product/goods/176901674,오힘찬,골든래빗,2026년 02월,21600,9.8,161,"* AI 활용 5만 권 판매 베스트셀러 저자 오힘찬의 완전히 새로운 신간!
* “메일 작성하기” 같은 시시한 거 싹 치우고 “AI 영상 만들기” 같은 더 미친 예제를 담아
* 구글 AI 혁명의 중심, 〈제미나이〉가 〈나노바나나〉, 〈노트북LM〉, 〈오팔〉과 통합되어 더 강력하게 나타났다!
* 최신 기능으로! 하루 8시간 업무를 1시간으로 줄이는 81가지 초효율 업무 자동화!
2025년 12월 구글은 제미나이 3.5(Gemini 3.5)를 발표하면서 다양한 기능의 변화를 공개했습니다. 이제 제미나이 3.5는 우리 곁의 유능하고 능동적인 업무 파트너로 완전히 진화했습니다. 이 책에 현존 최강 제미나이의 최신 변화를 온전히 담아 더욱 유용하게 활용할 수 있도록 안내합니다.
이 책은 제미나이의 최신 기술력을 완벽하게 해부합니다. 100만 토큰이라는 방대한 데이터를 한 번에 처리하는 제미나이 3 프로의 성능은 물론, 2025년 연말 업데이트를 통해 탑재된 제미나이 3.5의 비약적인 추론 능력과 실시간 세상 인식 기능을 전격 공개합니다. 사용자의 지시를 받아 스스로 심층 조사를 수행하고 전문적인 보고서까지 완성해내는 ‘딥 리서치’, 그리고 코딩 기술이 전혀 없어도 누구나 자신만의 맞춤형 AI 앱을 구축할 수 있게 해주는 ‘오팔(Opal)’에 이르기까지, 상상 속에만 존재하던 기능들이 실제 서비스로 구현된 현장을 생생하게 담아냈습니다.
이제 단순한 문답의 시대는 끝났습니다. 이 책은 구글 워크스페이스와 긴밀하게 결합하여 이메일을 작성하고 문서를 분석하는 실무 자동화의 정석을 보여줄 뿐만 아니라, 노트북LM을 활용해 300편이 넘는 논문을 단숨에 분석하는 놀라운 경험을 선사합니다. 또한 연말에 새롭게 강화된 나노 바나나(Nano Banana)와 플로우(Flow)의 연동 기능을 통해, 텍스트 한 줄만으로 전문가 수준의 숏폼 영상과 이미지를 생성하는 초격차 생산성의 세계로 독자들을 안내합니다.
『이게 되네? 제미나이 완전 미친 활용법 81제』는 전작의 예제를 넘어 2025년 연말까지의 최신 기술 트렌드를 완벽히 반영한 81개의 실전 레시피로 새롭게 태어났습니다. 특히 인간의 눈처럼 세상을 실시간으로 인식하고 소통하는 멀티모달 라이브 활용법은 여러분의 업무 방식을 송두리째 바꿀 것입니다. 일상과 업무의 프로세스를 근본적으로 뒤바꿀 AI 시대의 초효율, 이제 5만 베스트셀러 오힘찬 저자가 선사하는 이 책 한 권을 통해 질문하는 수준을 넘어 AI에게 지시하고 결과를 누리는 진정한 주인공이 되어 보시기 바랍니다."
5,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이",https://www.yes24.com/product/goods/169849422,"안익재, 황의태",앤써북,2025년 12월,17820,10.0,93,"요즘 교사들이 가장 많이 사용하는 5가지 에듀테크를 수업과 업무 완성에 어떻게 활용했고, 어떻게 활용할 수 있는지 50가지 주제별 실습과 100가지 실제 활용 사례와 활용 방법을 통해 배운다. 이 책은 요즘 교사들이 가장 많이 활용하는 캔바, 패들렛, 북크리에이터, 노션, 챗GPT?제미나이 5가지 에듀테크를 수업준비, 학급경영, 행정업무, 상담, 연수준비, 교사 개인업무, 교사협업, 바이브코딩에 어떻게 활용했고, 어떻게 활용할 수 있는지 그 구체적인 방법을 실습 예제와 사례로 설명했다. 5가지 에듀테크를 활용한 50가지 목적별, 주제별 실습과 100가지 실전 사례와 활용 사례를 통해 수업과 업무 대혁신을 기대할 수 있는 실전 입문서이다!
이 책의 특징은 다음과 같다.
- 쉬운 설명 : 에듀테크 초보 교사의 눈높이에 딱 맞게 설명
- 핵심 내용 : 5가지 에듀테크 별로 요즘 교사에게 꼭 필요한 핵심 내용만 엄선
- 실천 하기 : 에듀테크별로 수업, 학급 경영에 바로 활용할 수 있는 50가지 주제별 실습 예제 따라 만들기
- 활용 예시 : 어떻게 활용했고, 어떻게 활용할 수 있는 100가지 사례와 실전 활용법"
6,"AI 시대의 질문력, 프롬프트 엔지니어링",https://www.yes24.com/product/goods/150566390,류한석,코리아닷컴(Korea.com),2025년 08월,24300,9.5,63,"대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!
책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.
이제 프롬프트는 새로운 교양이다. 누구나 써야 하고, 제대로 써야 한다. 챗GPT를 쓰기는 하는데 제대로 쓸 줄 모르는 당신을 위한 책. AI에게 질문하기는 쉽지만, 질문 방식에 따라 결과가 천차만별이기 때문에 올바른 질문법이 중요하다. AI는 다양한 지식을 조합해 제공할 수 있지만, 당신의 의도까지 알아서 파악하기는 어렵다. 즉, 질문의 의도와 맥락을 ‘기계가 이해할 수 있도록’ 효과적으로 전달하는 능력이 필요하다. 프롬프트 엔지니어링은 AI와의 대화 및 문제 해결 방식을 만드는 사고의 틀이자 다양한 역량이 결합된 통합적 기술이다. AI 시대에는 질문력이 곧 경쟁력이 된다. 같은 AI라도 사용자의 프롬프트 엔지니어링 능력에 따라 결과물의 품질과 효율은 하늘과 땅 차이가 나게 된다.
이 책은 저자가 삼성전자, 현대자동차, SK텔레콤, 국토교통부, 국방전산정보원 등 최고의 대기업과 공공기관에 제공한 프롬프트 엔지니어링 교육 콘텐츠를 완벽하게 정리하고 개선한 결정판으로, 프롬프트 작성의 탄탄한 기초를 제공하는 동시에 AI 잠재력을 120% 끌어낼 실용적인 레시피가 담겨 있다. 프롬프트 전문가가 되기 위한 기초적인 이해에서부터 AI를 똑똑한 부하직원으로 써먹을 수 있는 질문의 기본 구조, 나아가 다양한 상황에서 바로 적용할 수 있는 프롬프트 패턴과 프레임워크까지, 생성형 AI를 제대로 사용하고 싶은 당신의 니즈를 모두 담은 책! 이 한 권이면 프롬프트를 마스터할 수 있다."
7,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공],https://www.yes24.com/product/goods/193587161,스튜디오 홍차,골든래빗,2026년 07월,23220,10.0,2,"★ 취미로 그린 그림이 평생 연금이 되는 마법! 1달러에서 월 300만 원이 된 수익화 파이프라인

★ 네이버 블로그에 검색 최적화(SEO)가 있다면, 스톡 이미지엔 '수요와 키워드'가 있다!

★ 국내 플랫폼 미리캔버스부터 글로벌 플랫폼 캔바까지! 업로드 한 번으로 전 세계에 내 그림을 팔아라!


스톡 이미지는 단거리 달리기보다 마라톤에 가깝습니다. 단 1달러의 첫 수익에서 시작해 현재 월 300만 원 이상의 자동 수익 구조를 만들어낸 7년 차 스톡 작가 ‘스튜디오 홍차’의 실전 노하우를 모두 담았습니다. 비싼 장비나 화려한 전공 지식이 없어도 괜찮습니다. 스마트폰(메디방페인트)이나 아이패드(프로크리에이트) 하나만 있으면 지금 당장 스톡 작가로 데뷔할 수 있습니다.


내가 만족하는 그림이 아니라, 시장이 필요로 하는 그림을 그려야 다운로드 수가 터지고 수익이 발생합니다. 이 책은 단순히 그림 그리는 법을 넘어, 대중성과 활용도를 갖춘 ‘돈이 되는 이미지’ 기획법을 안내합니다. 상위 노출 콘텐츠를 역추적하여 스테디셀러 및 시즌성 키워드를 발굴하는 비법부터, AI를 활용해 글로벌 플랫폼 최적화 영문 키워드를 빠르게 뽑아내는 팁까지 빈틈없이 알려드립니다.


한 번 올린 이미지가 흩어지지 않고 든든한 자산이 될 수 있도록 단계별 플랫폼 공략법도 제시합니다. 초보자도 심사 없이 당장 시작할 수 있는 미리캔버스, 툴디부터 개별 판매 수익이 높은 크라우드픽, 전 세계인을 대상으로 하는 셔터스톡, 어도비스톡, 캔바에 이르기까지 국내외 8대 플랫폼의 특징과 가이드라인을 낱낱이 파헤칩니다. 거절당하지 않는 저작권 팩트 체크와, 승인율을 200% 높이는 규정 숙지법도 놓치지 마세요."
8,하네스 엔지니어링 with 클로드 코드,https://www.yes24.com/product/goods/189818905,황민호,한빛미디어,2026년 06월,27000,9.4,29,"단일 에이전트 대신 ‘에이전트 팀’을 설계하라
클로드 코드로 구축하는 최초의 하네스 실전 가이드 
AI 에이전트를 도구로 쓰는 단계를 넘어, 스스로 일하는 에이전트 팀을 직접 설계하고 운영하는 방법인 하네스 엔지니어링을 체계적으로 정리한 최초의 실전서다. 이 책의 저자이자, 카카오 FDE팀의  황민호(로빈 황) 수석이 공개한 하네스 관련 오픈소스 자료는 깃허브에서 3천 개 이상의 별(star)을 받으며 이미 개발자 커뮤니티의 주목을 받은 바 있다.
하네스란 모델의 가중치를 건드리지 않고, 모델 바깥에 권한·도구·검증·관측을 설계해 에이전트가 혼자 움직이게 만드는 환경이다. 단일 에이전트의 구조적 한계부터, 에이전트 · 스킬 · 오케스트레이터라는 하네스 세 기둥의 설계 원칙, 스킬이 스킬을 만드는 메타스킬과 여섯 가지 아키텍처 패턴, 코드 리뷰·풀스택 구현·레거시 마이그레이션·디버깅 팀의 실전 사례까지 마크다운 파일을 직접 만들어 보며 익힐 수 있도록 설계되었다. 프롬프트 엔지니어링이나 모델 내부 지식 없이도, git과 마크다운 파일만 다룰 수 있다면 충분하다."
9,한눈에 보는 AI 반도체 산업,https://www.yes24.com/product/goods/183751609,MrTrigger,한빛미디어,2026년 03월,23400,9.9,148,"AI 반도체 생태계의 구조와 기술 흐름 + 글로벌 기업의 경쟁 구도와 산업 판도 + 투자자가 알아야 할 핵심 포인트를 한눈에! 
 
코스피 열풍과 글로벌 증시를 이끄는 중심에는 AI 반도체 산업이 있다. 엔비디아, TSMC, 삼성전자, SK하이닉스 같은 이름은 익숙하지만 이들이 어떤 구조로 연결되어 산업이 움직이는지는 쉽게 보이지 않는다. 이 책은 연산칩(GPU), 메모리, 패키징, 파운드리, 장비를 거쳐 데이터센터, 클라우드 그리고 최종 도착지인 소프트웨어까지 이어지는 밸류체인을 따라가며 AI 반도체 산업을 하나의 거대한 생태계로 정리한다. 왜 AI 시대의 중심이 GPU로 이동했는지, 왜 성능의 병목이 메모리로 넘어갔는지, 왜 HBM과 패키징 기술이 중요해졌는지를 큰 그림 안에서 이해할 수 있도록 돕는다. 또한 데이터센터와 클라우드를 포함한 인프라 관점에서 기업과 기술이 어떻게 연결되어 있는지를 보여주며, AI 반도체 산업 전체를 입체적으로 바라보는 시각을 제공한다. 이 책은 단순한 기술 설명이나 기업 소개를 넘어 AI 반도체 산업의 큰 흐름을 정리하고 싶은 독자에게 현실적인 출발점이 되어 줄 것이다."
10,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/189413191,"공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,19800,9.9,105,"코딩을 몰라도, 상상만으로 나만의 에듀테크를 뚝딱!
교사의 교육철학을 담은 맞춤형 수업 도구, 이제 바이브 코딩으로 직접 만드세요.
* 실습용 PRD(Product Requirements Document) 템플릿, 바이브 코딩 용어 모음집, 앱 링크 제공
시중의 에듀테크 도구들은 범용적이지만 정작 우리 반 아이들에게 딱 맞는 기능을 찾기는 어렵고, 복잡한 가입 절차와 온보딩 과정은 수업의 본질을 흐리기도 한다. 이제는 교사가 직접 수업에 필요한 도구를 만들어 내는 시대가 왔다.
이 책은 프로그래밍 문법을 모르는 교사들도 생성형 AI와 바이브 코딩(Vibe Coding)을 활용해 실제 서비스 수준의 앱을 개발할 수 있는 세계로 안내한다. 교실 현장의 생생한 실전 사례를 통해 누구나 자신만의 맞춤형 수업 도구를 기획하고 구현하는 과정을 따라할 수 있다. 특히 에듀테크 도입이 또 다른 업무 부담이 되지 않도록 AI를 활용해 앱을 만들고 관리하는 효율적인 실무 방법까지 상세히 담았다.
나만의 교육철학이 담긴 앱을 만드는 이 과정은, 교사가 기술 습득의 반복에서 벗어나 학생 한 명 한 명에게 더 집중할 수 있는 시간을 되찾아 줄 것이다."
